show_id;type;title;director;cast;country;date_added;release_year;rating;duration;listed_in;description
s1;TV Show;3%;;João Miguel, Bianca Comparato, Michel Gomes, Rodolfo Valente, Vaneza Oliveira, Rafael Lozano, Viviane Porto, Mel Fronckowiak, Sergio Mamberti, Zezé Motta, Celso Frateschi;Brazil;14/08/2020;2020;TV-MA;4 Seasons;International TV Shows, TV Dramas, TV Sci-Fi & Fantasy;In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor.
s2;Movie;7:19;Jorge Michel Grau;Demián Bichir, Héctor Bonilla, Oscar Serrano, Azalia Ortiz, Octavio Michel, Carmen Beato;Mexico;23/12/2016;2016;TV-MA;93 min;Dramas, International Movies;After a devastating earthquake hits Mexico City, trapped survivors from all walks of life wait to be rescued while trying desperately to stay alive.
s3;Movie;23:59;Gilbert Chan;Tedd Chan, Stella Chung, Henley Hii, Lawrence Koh, Tommy Kuan, Josh Lai, Mark Lee, Susan Leong, Benjamin Lim;Singapore;20/12/2018;2011;R;78 min;Horror Movies, International Movies;When an army recruit is found dead, his fellow soldiers are forced to confront a terrifying secret that's haunting their jungle island training camp.
s6;TV Show;46;Serdar Akar;Erdal Be?ikçio?lu, Yasemin Allen, Melis Birkan, Sayg?n Soysal, Berkan ?al, Metin Belgin, Ayça Eren, Selin Uludo?an, Özay Fecht, Suna Y?ld?zo?lu;Turkey;01/07/2017;2016;TV-MA;1 Season;International TV Shows, TV Dramas, TV Mysteries;A genetics professor experiments with a treatment for his comatose sister that blends medical and shamanic cures, but unlocks a shocking side effect.
s7;Movie;122;Yasir Al Yasiri;Amina Khalil, Ahmed Dawood, Tarek Lotfy, Ahmed El Fishawy, Mahmoud Hijazi, Jihane Khalil, Asmaa Galal, Tara Emad;Egypt;01/06/2020;2019;TV-MA;95 min;Horror Movies, International Movies;After an awful accident, a couple admitted to a grisly hospital are separated and must find each other to escape — before death finds them.
s8;Movie;187;Kevin Reynolds;Samuel L. Jackson, John Heard, Kelly Rowan, Clifton Collins Jr., Tony Plana;United States;01/11/2019;1997;R;119 min;Dramas;After one of his high school students attacks him, dedicated teacher Trevor Garfield grows weary of the gang warfare in the New York City school system and moves to California to teach there, thinking it must be a less hostile environment.
s10;Movie;1920;Vikram Bhatt;Rajneesh Duggal, Adah Sharma, Indraneil Sengupta, Anjori Alagh, Rajendranath Zutshi, Vipin Sharma, Amin Hajee, Shri Vallabh Vyas;India;15/12/2017;2008;TV-MA;143 min;Horror Movies, International Movies, Thrillers;An architect and his wife move into a castle that is slated to become a luxury hotel. But something inside is determined to stop the renovation.
s11;Movie;1922;Zak Hilditch;Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard, Bob Frazer, Brian d'Arcy James, Neal McDonough;United States;20/10/2017;2017;TV-MA;103 min;Dramas, Thrillers;A farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. Based on Stephen King's novella.
s12;TV Show;1983;;Robert Wi?ckiewicz, Maciej Musia?, Michalina Olsza?ska, Andrzej Chyra, Clive Russell, Zofia Wich?acz, Edyta Olszówka, Mateusz Ko?ciukiewicz, Ewa B?aszczyk, Vu Le Hong, Tomasz W?osok, Krzysztof Wach;Poland, United States;30/11/2018;2018;TV-MA;1 Season;Crime TV Shows, International TV Shows, TV Dramas;In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades.
s13;TV Show;1994;Diego Enrique Osorno;;Mexico;17/05/2019;2019;TV-MA;1 Season;Crime TV Shows, Docuseries, International TV Shows;Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio.
s14;Movie;2,215;Nottapon Boonprakob;Artiwara Kongmalai;Thailand;01/03/2019;2018;TV-MA;89 min;Documentaries, International Movies, Sports Movies;This intimate documentary follows rock star Artiwara Kongmalai on his historic, 2,215-kilometer charity run across Thailand in 2017.
s15;Movie;3022;John Suits;Omar Epps, Kate Walsh, Miranda Cosgrove, Angus Macfadyen, Jorja Fox, Enver Gjokaj, Haaz Sleiman;United States;19/03/2020;2019;R;91 min;Independent Movies, Sci-Fi & Fantasy, Thrillers;Stranded when the Earth is suddenly destroyed in a mysterious cataclysm, the astronauts aboard a marooned space station slowly lose their minds.
s18;Movie;22-Jul;Paul Greengrass;Anders Danielsen Lie, Jon Øigarden, Jonas Strand Gravli, Ola G. Furuseth, Maria Bock, Thorbjørn Harr, Jaden Smith;Norway, Iceland, United States;10/10/2018;2018;R;144 min;Dramas, Thrillers;After devastating terror attacks in Norway, a young survivor, grieving families and the country rally for justice and healing. Based on a true story.
s27;TV Show;(Un)Well;;;United States;12/08/2020;2020;TV-MA;1 Season;Reality TV;This docuseries takes a deep dive into the lucrative wellness industry, which touts health and healing. But do the products live up to the promises?
s28;Movie;#Alive;Cho Il;Yoo Ah-in, Park Shin-hye;South Korea;08/09/2020;2020;TV-MA;99 min;Horror Movies, International Movies, Thrillers;As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.
s30;TV Show;#blackAF;;Kenya Barris, Rashida Jones, Iman Benson, Genneya Walton, Scarlet Spencer, Justin Claiborne, Ravi Cabot-Conyers;United States;17/04/2020;2020;TV-MA;1 Season;TV Comedies;Kenya Barris and his family navigate relationships, race and culture while grappling with their newfound success in this comedy series.
s37;Movie;#Selfie;Cristina Jacob;Flavia Hojda, Crina Semciuc, Olimpia Melinte, Levent Sali, Vlad Logigan, Alex Calin, Alina Chivulescu, Razvan Vasilescu;Romania;01/06/2019;2014;TV-MA;125 min;Comedies, Dramas, International Movies;Two days before their final exams, three teen girls make a seaside getaway to end their adolescence with a bang.
s38;Movie;#Selfie 69;Cristina Jacob;Maia Morgenstern, Olimpia Melinte, Crina Semciuc, Flavia Hojda, Maria Dinulescu, Alex Calin, Vlad Logigan, Levent Sali, Silvia Busuioc, Mihaela Mihut;Romania;01/06/2019;2016;TV-MA;119 min;Comedies, Dramas, International Movies;After a painful breakup, a trio of party-loving friends makes a bet: who can get married in three days.
s40;Movie;¡Ay, mi madre!;Frank Ariza;Estefanía de los Santos, Secun de la Rosa, Terele Pávez, María Alfonsa Rosso, Mariola Fuentes, Alfonso Sánchez, Paz Vega, Marta Torné, Concha Galán;Spain;19/07/2019;2019;TV-MA;81 min;Comedies, International Movies;When her estranged mother suddenly dies, a woman must follow the quirky instructions laid out in the will in order to collect an important inheritance.
s42;Movie;Ég man þig;Óskar Thór Axelsson;Jóhannes Haukur Jóhannesson, Ágústa Eva Erlendsdóttir, Elma Stefania Agustsdottir, Thor Kristjansson, Anna Gunndís Guðmundsdóttir, Sara Dögg Ásgeirsdóttir, Þröstur Leó Gunnarsson, Jóhann Sigurðarson, Sveinn Geirsson, Arnar Páll Harðarson;Iceland;27/03/2018;2017;TV-MA;106 min;Horror Movies, International Movies;Young urbanites renovating a rundown house, and a psychiatrist grieving his son's disappearance, are connected to a supernatural, decades-old secret.
